# time_ms,control,value
38843,rstick_y,-1771
38845,lstick_x,-20960
38845,lstick_y,-27911
38845,rstick_y,-1771
38853,lstick_x,-20960
38853,lstick_y,-27911
38853,rstick_y,-1771
38863,lstick_x,-20960
38863,lstick_y,-27911
38863,rstick_y,-1771
38869,lstick_x,-20960
38869,lstick_y,-27911
38869,rstick_y,-1771
38884,lstick_x,-20960
38884,lstick_y,-27911
38884,rstick_y,-1771
38892,lstick_x,-20566
38892,lstick_y,-28237
38892,rstick_y,-1771
38901,lstick_x,-20566
38901,lstick_y,-28237
38901,rstick_y,-1771
38905,lstick_x,-20472
38905,lstick_y,-28315
38905,rstick_y,-1771
38909,lstick_x,-20472
38909,lstick_y,-28315
38909,rstick_y,-1771
38912,lstick_x,-20472
38912,lstick_y,-28315
38912,rstick_y,-1771
38917,lstick_x,-20472
38917,lstick_y,-28315
38917,rstick_y,-1771
38920,lstick_x,-20397
38920,lstick_y,-28384
38920,rstick_y,-1771
38926,lstick_x,-20397
38926,lstick_y,-28384
38926,rstick_y,-1771
38938,lstick_x,-20397
38938,lstick_y,-28384
38938,rstick_y,-1771
38946,lstick_x,-20397
38946,lstick_y,-28384
38946,rstick_y,-1771
38952,lstick_x,-20397
38952,lstick_y,-28384
38952,rstick_y,-1771
38958,lstick_x,-20337
38958,lstick_y,-28433
38958,rstick_y,-1771
38962,lstick_x,-20289
38962,lstick_y,-28433
38962,rstick_y,-1771
38965,lstick_x,-20289
38965,lstick_y,-28433
38965,rstick_y,-1771
38973,lstick_x,-20289
38973,lstick_y,-28433
38973,rstick_y,-1771
38982,lstick_x,-20289
38982,lstick_y,-28433
38982,rstick_y,-1771
38987,lstick_x,-20289
38987,lstick_y,-28503
38987,rstick_y,-1771
38992,lstick_x,-20289
38992,lstick_y,-28503
38992,rstick_y,-1771
38997,lstick_x,-20289
38997,lstick_y,-28503
38997,rstick_y,-1771
39013,lstick_x,-20289
39013,lstick_y,-28503
39013,rstick_y,-1771
39020,lstick_x,-20182
39020,lstick_y,-28534
39020,rstick_y,-1771
39029,lstick_x,-20182
39029,lstick_y,-28534
39029,rstick_y,-1771
39042,lstick_x,-20182
39042,lstick_y,-28534
39042,rstick_y,-1771
39045,lstick_x,-20182
39045,lstick_y,-28534
39045,rstick_y,-1771
